name,price_usd,sale_price_usd,product_url
Cora Parachute Pant,75.00,,https://www.scrapingcourse.com/ecommerce/product/cora-parachute-pant/
Cronus Yoga Pant,48.00,,https://www.scrapingcourse.com/ecommerce/product/cronus-yoga-pant/
Crown Summit Backpack,38.00,,https://www.scrapingcourse.com/ecommerce/product/crown-summit-backpack/
Cruise Dual Analog Watch,55.00,,https://www.scrapingcourse.com/ecommerce/product/cruise-dual-analog-watch/
Daphne Full-Zip Hoodie,59.00,,https://www.scrapingcourse.com/ecommerce/product/daphne-full-zip-hoodie/
Daria Bikram Pant,51.00,,https://www.scrapingcourse.com/ecommerce/product/daria-bikram-pant/
Dash Digital Watch,92.00,,https://www.scrapingcourse.com/ecommerce/product/dash-digital-watch/
Deion Long-Sleeve EverCool™ Tee,39.00,,https://www.scrapingcourse.com/ecommerce/product/deion-long-sleeve-evercool-tee/
Deirdre Relaxed-Fit Capri,63.00,,https://www.scrapingcourse.com/ecommerce/product/deirdre-relaxed-fit-capri/
Desiree Fitness Tee,24.00,,https://www.scrapingcourse.com/ecommerce/product/desiree-fitness-tee/
Diana Tights,59.00,,https://www.scrapingcourse.com/ecommerce/product/diana-tights/
Didi Sport Watch,92.00,,https://www.scrapingcourse.com/ecommerce/product/didi-sport-watch/
Diva Gym Tee,32.00,,https://www.scrapingcourse.com/ecommerce/product/diva-gym-tee/
Driven Backpack,36.00,,https://www.scrapingcourse.com/ecommerce/product/driven-backpack/
Dual Handle Cardio Ball,12.00,,https://www.scrapingcourse.com/ecommerce/product/dual-handle-cardio-ball/
Echo Fit Compression Short,24.00,,https://www.scrapingcourse.com/ecommerce/product/echo-fit-compression-short/
Electra Bra Top,39.00,,https://www.scrapingcourse.com/ecommerce/product/electra-bra-top/
Elisa EverCool™ Tee,29.00,,https://www.scrapingcourse.com/ecommerce/product/elisa-evercool-tee/
Endeavor Daytrip Backpack,33.00,,https://www.scrapingcourse.com/ecommerce/product/endeavor-daytrip-backpack/
Endurance Watch,49.00,,https://www.scrapingcourse.com/ecommerce/product/endurance-watch/
Eos V-Neck Hoodie,54.00,,https://www.scrapingcourse.com/ecommerce/product/eos-v-neck-hoodie/
Erica Evercool Sports Bra,39.00,,https://www.scrapingcourse.com/ecommerce/product/erica-evercool-sports-bra/
Erika Running Short,45.00,,https://www.scrapingcourse.com/ecommerce/product/erika-running-short/
Erikssen CoolTech™ Fitness Tank,29.00,,https://www.scrapingcourse.com/ecommerce/product/erikssen-cooltech-fitness-tank/
Fiona Fitness Short,29.00,,https://www.scrapingcourse.com/ecommerce/product/fiona-fitness-short/
Frankie  Sweatshirt,60.00,,https://www.scrapingcourse.com/ecommerce/product/frankie-sweatshirt/
Fusion Backpack,59.00,,https://www.scrapingcourse.com/ecommerce/product/fusion-backpack/
Gabrielle Micro Sleeve Top,28.00,,https://www.scrapingcourse.com/ecommerce/product/gabrielle-micro-sleeve-top/
Geo Insulated Jogging Pant,51.00,,https://www.scrapingcourse.com/ecommerce/product/geo-insulated-jogging-pant/
Go-Get’r Pushup Grips,19.00,,https://www.scrapingcourse.com/ecommerce/product/go-getr-pushup-grips/
Gobi HeatTec® Tee,29.00,,https://www.scrapingcourse.com/ecommerce/product/gobi-heattec-tee/
Grayson Crewneck Sweatshirt,64.00,,https://www.scrapingcourse.com/ecommerce/product/grayson-crewneck-sweatshirt/
Gwen Drawstring Bike Short,50.00,,https://www.scrapingcourse.com/ecommerce/product/gwen-drawstring-bike-short/
Gwyn Endurance Tee,24.00,,https://www.scrapingcourse.com/ecommerce/product/gwyn-endurance-tee/
Harmony Lumaflex™ Strength Band Kit,22.00,,https://www.scrapingcourse.com/ecommerce/product/harmony-lumaflex-strength-band-kit/
Hawkeye Yoga Short,29.00,,https://www.scrapingcourse.com/ecommerce/product/hawkeye-yoga-short/
Helena Hooded Fleece,55.00,,https://www.scrapingcourse.com/ecommerce/product/helena-hooded-fleece/
Helios Endurance Tank,32.00,,https://www.scrapingcourse.com/ecommerce/product/helios-endurance-tank/
Helios EverCool™ Tee,24.00,,https://www.scrapingcourse.com/ecommerce/product/helios-evercool-tee/
Hera Pullover Hoodie,48.00,,https://www.scrapingcourse.com/ecommerce/product/hera-pullover-hoodie/
Hero Hoodie,54.00,,https://www.scrapingcourse.com/ecommerce/product/hero-hoodie/
Hollister Backyard Sweatshirt,52.00,,https://www.scrapingcourse.com/ecommerce/product/hollister-backyard-sweatshirt/
Hyperion Elements Jacket,51.00,,https://www.scrapingcourse.com/ecommerce/product/hyperion-elements-jacket/
Ida Workout Parachute Pant,48.00,,https://www.scrapingcourse.com/ecommerce/product/ida-workout-parachute-pant/
Impulse Duffle,74.00,,https://www.scrapingcourse.com/ecommerce/product/impulse-duffle/
Ina Compression Short,49.00,,https://www.scrapingcourse.com/ecommerce/product/ina-compression-short/
Ingrid Running Jacket,84.00,,https://www.scrapingcourse.com/ecommerce/product/ingrid-running-jacket/
Iris Workout Top,29.00,,https://www.scrapingcourse.com/ecommerce/product/iris-workout-top/
Jade Yoga Jacket,32.00,,https://www.scrapingcourse.com/ecommerce/product/jade-yoga-jacket/
Josie Yoga Jacket,56.25,,https://www.scrapingcourse.com/ecommerce/product/josie-yoga-jacket/
Joust Duffle Bag,34.00,,https://www.scrapingcourse.com/ecommerce/product/joust-duffle-bag/
Juliana Short-Sleeve Tee,42.00,,https://www.scrapingcourse.com/ecommerce/product/juliana-short-sleeve-tee/
Jupiter All-Weather Trainer,56.99,,https://www.scrapingcourse.com/ecommerce/product/jupiter-all-weather-trainer/
Karissa V-Neck Tee,32.00,,https://www.scrapingcourse.com/ecommerce/product/karissa-v-neck-tee/
Karmen Yoga Pant,39.00,,https://www.scrapingcourse.com/ecommerce/product/karmen-yoga-pant/
Kenobi Trail Jacket,47.00,,https://www.scrapingcourse.com/ecommerce/product/kenobi-trail-jacket/
Kratos Gym Pant,57.00,,https://www.scrapingcourse.com/ecommerce/product/kratos-gym-pant/
Lando Gym Jacket,99.00,,https://www.scrapingcourse.com/ecommerce/product/lando-gym-jacket/
Layla Tee,29.00,,https://www.scrapingcourse.com/ecommerce/product/layla-tee/
Leah Yoga Top,39.00,,https://www.scrapingcourse.com/ecommerce/product/leah-yoga-top/
Livingston All-Purpose Tight,75.00,,https://www.scrapingcourse.com/ecommerce/product/livingston-all-purpose-tight/
Logan  HeatTec® Tee,24.00,,https://www.scrapingcourse.com/ecommerce/product/logan-heattec-tee/
Lono Yoga Short,32.00,,https://www.scrapingcourse.com/ecommerce/product/lono-yoga-short/
Lucia Cross-Fit Bra,39.00,,https://www.scrapingcourse.com/ecommerce/product/lucia-cross-fit-bra/
Luma Analog Watch,43.00,,https://www.scrapingcourse.com/ecommerce/product/luma-analog-watch/
Mach Street Sweatshirt,62.00,,https://www.scrapingcourse.com/ecommerce/product/mach-street-sweatshirt/
Marco Lightweight Active Hoodie,74.00,,https://www.scrapingcourse.com/ecommerce/product/marco-lightweight-active-hoodie/
Mars HeatTech™ Pullover,66.00,,https://www.scrapingcourse.com/ecommerce/product/mars-heattech-pullover/
Maxima Drawstring Short,28.00,,https://www.scrapingcourse.com/ecommerce/product/maxima-drawstring-short/
Maya Tunic,29.00,,https://www.scrapingcourse.com/ecommerce/product/maya-tunic/
Meteor Workout Short,32.50,,https://www.scrapingcourse.com/ecommerce/product/meteor-workout-short/
Miko Pullover Hoodie,69.00,,https://www.scrapingcourse.com/ecommerce/product/miko-pullover-hoodie/
Mimi All-Purpose Short,44.00,,https://www.scrapingcourse.com/ecommerce/product/mimi-all-purpose-short/
Minerva LumaTech™ V-Tee,32.00,,https://www.scrapingcourse.com/ecommerce/product/minerva-lumatech-v-tee/
Mithra Warmup Pant,28.00,,https://www.scrapingcourse.com/ecommerce/product/mithra-warmup-pant/
Mona Pullover Hoodlie,57.00,,https://www.scrapingcourse.com/ecommerce/product/mona-pullover-hoodlie/
Montana Wind Jacket,49.00,,https://www.scrapingcourse.com/ecommerce/product/montana-wind-jacket/
Nadia Elements Shell,69.00,,https://www.scrapingcourse.com/ecommerce/product/nadia-elements-shell/
Neve Studio Dance Jacket,69.00,,https://www.scrapingcourse.com/ecommerce/product/neve-studio-dance-jacket/
Nona Fitness Tank,39.00,,https://www.scrapingcourse.com/ecommerce/product/nona-fitness-tank/
Nora Practice Tank,39.00,,https://www.scrapingcourse.com/ecommerce/product/nora-practice-tank/
Olivia 1/4 Zip Light Jacket,77.00,,https://www.scrapingcourse.com/ecommerce/product/olivia-1-4-zip-light-jacket/
Orestes Fitness Short,35.00,,https://www.scrapingcourse.com/ecommerce/product/orestes-fitness-short/
Orestes Yoga Pant,66.00,,https://www.scrapingcourse.com/ecommerce/product/orestes-yoga-pant/
Orion Two-Tone Fitted Jacket,72.00,,https://www.scrapingcourse.com/ecommerce/product/orion-two-tone-fitted-jacket/
Oslo Trek Hoodie,42.00,,https://www.scrapingcourse.com/ecommerce/product/oslo-trek-hoodie/
Overnight Duffle,45.00,,https://www.scrapingcourse.com/ecommerce/product/overnight-duffle/
Phoebe Zipper Sweatshirt,59.00,,https://www.scrapingcourse.com/ecommerce/product/phoebe-zipper-sweatshirt/
Pierce Gym Short,27.00,,https://www.scrapingcourse.com/ecommerce/product/pierce-gym-short/
Portia Capri,49.00,,https://www.scrapingcourse.com/ecommerce/product/portia-capri/
Prima Compete Bra Top,24.00,,https://www.scrapingcourse.com/ecommerce/product/prima-compete-bra-top/
Primo Endurance Tank,29.00,,https://www.scrapingcourse.com/ecommerce/product/primo-endurance-tank/
Proteus Fitness Jackshirt,45.00,,https://www.scrapingcourse.com/ecommerce/product/proteus-fitness-jackshirt/
Pursuit Lumaflex™ Tone Band,16.00,,https://www.scrapingcourse.com/ecommerce/product/pursuit-lumaflex-tone-band/
Push It Messenger Bag,45.00,,https://www.scrapingcourse.com/ecommerce/product/push-it-messenger-bag/
Quest Lumaflex™ Band,19.00,,https://www.scrapingcourse.com/ecommerce/product/quest-lumaflex-band/
Radiant Tee,22.00,,https://www.scrapingcourse.com/ecommerce/product/radiant-tee/
Rapha  Sports Short,35.00,,https://www.scrapingcourse.com/ecommerce/product/rapha-sports-short/
Riona Full Zip Jacket,60.00,,https://www.scrapingcourse.com/ecommerce/product/riona-full-zip-jacket/
Rival Field Messenger,45.00,,https://www.scrapingcourse.com/ecommerce/product/rival-field-messenger/
Rocco Gym Tank,24.00,,https://www.scrapingcourse.com/ecommerce/product/rocco-gym-tank/
Ryker LumaTech™ Tee (Crew-neck),32.00,,https://www.scrapingcourse.com/ecommerce/product/ryker-lumatech-tee-crew-neck/
Ryker LumaTech™ Tee (V-neck),28.00,,https://www.scrapingcourse.com/ecommerce/product/ryker-lumatech-tee-v-neck/
Sahara Leggings,75.00,,https://www.scrapingcourse.com/ecommerce/product/sahara-leggings/
Savvy Shoulder Tote,32.00,24.00,https://www.scrapingcourse.com/ecommerce/product/savvy-shoulder-tote/
Selene Yoga Hoodie,42.00,,https://www.scrapingcourse.com/ecommerce/product/selene-yoga-hoodie/
Sinbad Fitness Tank,29.00,,https://www.scrapingcourse.com/ecommerce/product/sinbad-fitness-tank/
Sol Active Short,32.00,,https://www.scrapingcourse.com/ecommerce/product/sol-active-short/
Sparta Gym Tank,29.00,,https://www.scrapingcourse.com/ecommerce/product/sparta-gym-tank/
Sprite Foam Roller,19.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-foam-roller/
Sprite Foam Yoga Brick,5.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-foam-yoga-brick/
Sprite Stasis Ball 55 cm,23.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-stasis-ball-55-cm/
Sprite Stasis Ball 55 cm,23.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-stasis-ball-55-cm-2/
Sprite Stasis Ball 55 cm,23.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-stasis-ball-55-cm-3/
Sprite Stasis Ball 65 cm,27.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-stasis-ball-65-cm/
Sprite Stasis Ball 65 cm,27.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-stasis-ball-65-cm-2/
Sprite Stasis Ball 65 cm,27.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-stasis-ball-65-cm-3/
Sprite Stasis Ball 75 cm,32.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-stasis-ball-75-cm/
Sprite Stasis Ball 75 cm,32.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-stasis-ball-75-cm-2/
Sprite Stasis Ball 75 cm,32.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-stasis-ball-75-cm-3/
Sprite Yoga Strap 10 foot,21.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-yoga-strap-10-foot/
Sprite Yoga Strap 6 foot,14.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-yoga-strap-6-foot/
Sprite Yoga Strap 8 foot,17.00,,https://www.scrapingcourse.com/ecommerce/product/sprite-yoga-strap-8-foot/
Stark Fundamental Hoodie,42.00,,https://www.scrapingcourse.com/ecommerce/product/stark-fundamental-hoodie/
Stellar Solar Jacket,75.00,,https://www.scrapingcourse.com/ecommerce/product/stellar-solar-jacket/
Strike Endurance Tee,39.00,,https://www.scrapingcourse.com/ecommerce/product/strike-endurance-tee/
Strive Shoulder Pack,32.00,,https://www.scrapingcourse.com/ecommerce/product/strive-shoulder-pack/
Summit Watch,54.00,,https://www.scrapingcourse.com/ecommerce/product/summit-watch/
Supernova Sport Pant,45.00,,https://www.scrapingcourse.com/ecommerce/product/supernova-sport-pant/
Sybil Running Short,44.00,,https://www.scrapingcourse.com/ecommerce/product/sybil-running-short/
Sylvia Capri,42.00,,https://www.scrapingcourse.com/ecommerce/product/sylvia-capri/
Taurus Elements Shell,65.00,,https://www.scrapingcourse.com/ecommerce/product/taurus-elements-shell/
Teton Pullover Hoodie,70.00,,https://www.scrapingcourse.com/ecommerce/product/teton-pullover-hoodie/
Thorpe Track Pant,68.00,,https://www.scrapingcourse.com/ecommerce/product/thorpe-track-pant/
Tiberius Gym Tank,18.00,,https://www.scrapingcourse.com/ecommerce/product/tiberius-gym-tank/
Tiffany Fitness Tee,28.00,,https://www.scrapingcourse.com/ecommerce/product/tiffany-fitness-tee/
Torque Power Short,32.50,,https://www.scrapingcourse.com/ecommerce/product/torque-power-short/
Tristan Endurance Tank,29.00,,https://www.scrapingcourse.com/ecommerce/product/tristan-endurance-tank/
Troy Yoga Short,24.00,,https://www.scrapingcourse.com/ecommerce/product/troy-yoga-short/
Typhon Performance Fleece-lined Jacket,60.00,,https://www.scrapingcourse.com/ecommerce/product/typhon-performance-fleece-lined-jacket/
Viktor LumaTech™ Pant,46.00,,https://www.scrapingcourse.com/ecommerce/product/viktor-lumatech-pant/
Voyage Yoga Bag,32.00,,https://www.scrapingcourse.com/ecommerce/product/voyage-yoga-bag/
Vulcan Weightlifting Tank,28.00,,https://www.scrapingcourse.com/ecommerce/product/vulcan-weightlifting-tank/
Wayfarer Messenger Bag,45.00,,https://www.scrapingcourse.com/ecommerce/product/wayfarer-messenger-bag/
Zeppelin Yoga Pant,82.00,,https://www.scrapingcourse.com/ecommerce/product/zeppelin-yoga-pant/
Zing Jump Rope,12.00,,https://www.scrapingcourse.com/ecommerce/product/zing-jump-rope/
Zoe Tank,29.00,,https://www.scrapingcourse.com/ecommerce/product/zoe-tank/
Zoltan Gym Tee,29.00,,https://www.scrapingcourse.com/ecommerce/product/zoltan-gym-tee/
